1617696812, projectjan, snapped, 0
1617697129, mistermonsieur, caught f9zzzie, 1
1617697443, styx722, caught ryuunonamida, 1
1617697706, skyyse_, snapped, 0
1617698043, mistermonsieur, caught blitz9291, 1
1617698400, cetkaman, caught inoe182, 339
1617698827, mistermonsieur, caught buppanowa, 1
1617699095, kajchi, snapped, 0
1617699410, mrgneiss, caught negalul, 1
1617699711, cetkaman, caught gowithhim, 1
1617700022, styx722, caught thegeekpirate, 1
1617700049, nutzzz96, snapped, 0
1617700231, astolfoisnotatrap, snapped, 0
1617700517, skyyse_, snapped, 0
1617700826, mrgneiss, caught victor_cminus, 1
1617701176, styx722, caught tetyys, 1
1617701310, astolfoisnotatrap, snapped, 0
1617701507, mistermonsieur, snapped, 0
1617701821, chinasoupnumbawan, caught jonyangg, 1
1617702152, styx722, caught sjyoon, 1
1617702487, mistermonsieur, caught casinothanks, 1
1617702784, mrgneiss, snapped, 0
1617703000, astolfoisnotatrap, snapped, 0
1617703232, kenztien, snapped, 0
1617703509, skyyse_, snapped, 0
1617703714, styx722, snapped, 0
1617703908, styx722, snapped, 0
1617704460, dymarimar, caught mulqahdiv, 1
1617704559, kajchi, snapped, 0
1617704759, communistwizard, snapped, 0
1617704993, tealancers, snapped, 0
1617705199, dimitrie12, snapped, 0
1617705279, skyyse_, snapped, 0
1617705553, sscuzzy, snapped, 0
1617705606, dlwlrmaf, snapped, 0
1617705944, seobearz, caught janand89, 1
1617706276, cetkaman, caught furious_pecok, 1
1617706453, dgtex11, snapped, 0
1617706557, dinnerfia, snapped, 0
1617706635, skyyse_, snapped, 0
1617706762, kgbthestar, snapped, 0
1617706922, zonularity, snapped, 0
1617706988, styx722, snapped, 0
1617707214, micxiang, snapped, 0
1617707335, seobearz, snapped, 0
1617707519, dymarimar, snapped, 0
1617707590, seobearz, snapped, 0
1617707743, seobearz, snapped, 0
1617707961, seobearz, snapped, 0
1617707992, clocked_7, snapped, 0
1617708713, seobearz, snapped, 0
1617708827, dgtex11, snapped, 0
1617708960, skyyse_, snapped, 0
1617708976, dymarimar, snapped, 0
1617709407, seobearz, caught trytostopmee, 1
1617709527, sereja_lolshto, snapped, 0
1617709553, peacefulfake, snapped, 0
1617709836, projectjan, snapped, 0
1617709984, skymachine09, snapped, 0
1617710041, micxiang, snapped, 0
1617710466, projectjan, caught hkftz, 1
1617710562, seobearz, snapped, 0
1617710653, xiii_genocide, snapped, 0
1617710817, rojakpanda, snapped, 0
1617711043, seobearz, snapped, 0
1617711144, sscuzzy, snapped, 0
1617711337, peacefulfake, snapped, 0
1617711469, kuroneko__27, snapped, 0
1617711849, seobearz, caught osteon0812, 1
1617712105, chinasoupnumbawan, snapped, 0
1617712416, zyzstem, caught 000000000000, 1
1617712486, mistermonsieur, snapped, 0
1617713005, cupgirl, snapped, 0
1617713073, clocked_7, snapped, 0
1617713361, seobearz, snapped, 0
1617713711, seobearz, caught ciko111s, 1
1617714092, dgtex11, caught xoyatsy, 1
1617714406, guldur87, caught john_doe55, 1
1617714473, satorimaiden, snapped, 0
1617714667, styx722, snapped, 0
1617714903, clocked_7, snapped, 0
1617715067, skyyse_, snapped, 0
1617715085, seobearz, snapped, 0
1617716160, projectjan, caught ecagulay, 1
1617716462, clocked_7, caught h4ppyxel, 1
1617716542, xrossdelta, snapped, 0
1617716664, zyzstem, snapped, 0
1617716863, seobearz, snapped, 0
1617717036, zyzstem, snapped, 0
1617717075, tealancers, snapped, 0
1617717497, zyzstem, caught ocaeus, 1
1617717744, astolfoisnotatrap, snapped, 0
1617717823, skyyse_, snapped, 0
1617718213, guardian_wizard, caught ociris13, 1
1617718356, relyk5, snapped, 0
1617718510, jimmboooooooo, snapped, 0
1617718771, skyyse_, snapped, 0
1617718815, styx722, snapped, 0
1617718980, mildecstasy, snapped, 0
1617719132, seobearz, snapped, 0
1617719443, styx722, caught gotthepopcorn, 1
1617720158, seobearz, snapped, 0
1617720465, sscuzzy, caught tunie_j05, 1
1617720802, projectjan, caught goulen, 1
1617720999, seobearz, snapped, 0
1617721205, indonesianctzn, snapped, 0
1617721567, seobearz, caught ocaeus, 1
1617721727, astolfoisnotatrap, snapped, 0
1617722126, guldur87, caught acbluflame, 1
1617722298, tealancers, snapped, 0
1617722485, seobearz, snapped, 0
1617722833, szndrlsk, caught srokates, 1
1617722957, penemuee, snapped, 0
1617723176, bingbongaming, snapped, 0
1617723451, seobearz, snapped, 0
1617723495, mistermonsieur, snapped, 0
1617723840, mrgneiss, caught thesaltysalt, 1
1617724268, zyzstem, snapped, 0
1617724589, chinasoupnumbawan, caught 1patsuan1, 1
1617725197, inoe182, caught k1mch33, 1
1617725982, szndrlsk, caught diopriagungwicaksana, 1
1617725997, el_cocoloco, snapped, 0
1617726503, projectjan, caught jumpnixon, 1
1617727120, guldur87, caught acereaper95, 1
1617727395, skyyse_, snapped, 0
1617727451, kenztien, snapped, 0
1617727768, sscuzzy, caught rydestro, 1
1617728089, projectjan, caught kekekorea, 1
1617728111, how_do_i_oxygen, snapped, 0
1617728186, unabletoeven, snapped, 0
1617728416, rojakpanda, snapped, 0
1617728479, zyzstem, snapped, 0
1617728813, chinasoupnumbawan, caught moto_x_70, 1
1617729068, sonytoo, snapped, 0
1617729397, projectjan, caught kotai07, 1
1617729447, sonytoo, snapped, 0
1617729492, zyzstem, snapped, 0
1617729601, mildecstasy, snapped, 0
1617729650, el_cocoloco, snapped, 0
1617729744, zyzstem, snapped, 0
1617729876, kenztien, snapped, 0
1617730182, guldur87, caught lordofturtles, 1
1617730481, projectjan, snapped, 0
1617730784, chinasoupnumbawan, caught telbrok, 1
1617731100, cetkaman, caught mircea_, 1
1617731474, inoe182, caught artharan, 1
1617731776, chinasoupnumbawan, caught kemok, 1
1617731793, zyzstem, snapped, 0
1617731809, guardian_wizard, snapped, 0
1617731835, 狂抽猛送三千次, snapped, 0
1617732194, inoe182, caught ouglaaa, 1
1617732532, chinasoupnumbawan, caught gowithhim, 1
1617732927, guldur87, caught kloset1, 1
1617733280, chinasoupnumbawan, caught svartvinge, 1
1617733726, inoe182, caught kay_wolfe, 1
1617734192, chinasoupnumbawan, caught ygg670, 1
1617734282, zyzstem, snapped, 0
1617734674, yolovsky, caught commanderroot, 1
1617734859, skyyse_, snapped, 0
1617735161, chinasoupnumbawan, caught alsuf, 1
1617735568, skyyse_, caught tudorvoidheart, 1
1617735871, chinasoupnumbawan, caught bl00dcrusad3r, 1
1617736226, inoe182, caught gbg1000, 1
1617736529, chinasoupnumbawan, caught modestb, 1
1617736768, skyyse_, snapped, 0
1617736831, skyyse_, snapped, 0
1617737155, cetkaman, caught scibeach, 1
1617737523, chinasoupnumbawan, caught somnnn, 1
1617737809, guardian_wizard, snapped, 0
1617738119, cetkaman, caught noobkanon, 1
1617738422, chinasoupnumbawan, caught kahoifish, 1
1617738461, guardian_wizard, snapped, 0
1617738789, cetkaman, caught 3rdmay, 1
1617739111, chinasoupnumbawan, caught geniusviking, 1
1617739511, inoe182, caught tomsta123, 1
1617739886, cetkaman, caught turtalyturtle, 1
1617740188, chinasoupnumbawan, caught prettygaijin, 1
1617740527, cetkaman, caught bahoidaniel69, 1
1617740838, chinasoupnumbawan, caught skyx5, 1
1617741183, cetkaman, caught lvlzeromagikarp, 1
1617741486, chinasoupnumbawan, caught stf78332687, 1
1617741787, cetkaman, caught chasoe90, 1
1617742204, mrgneiss, caught mrgneiss, 28
1617742507, chinasoupnumbawan, caught coldag3, 1
1617742827, cetkaman, caught rainstrms, 1
1617743314, chinasoupnumbawan, caught koreabi, 1
1617743643, cetkaman, caught jonasbros, 1
1617743958, chinasoupnumbawan, caught wwwbigv, 1
1617744311, cetkaman, caught pistolaing, 1
1617744616, chinasoupnumbawan, caught ventriloquist37, 1
1617744948, cetkaman, caught shengshengtai0314, 1
1617745256, kjhgfr, caught abbottcostello, 1
1617745595, cetkaman, caught teatippler, 1
1617746296, yelnax, caught frehd, 1
1617746611, cetkaman, caught ronswagson98, 1
1617747067, kjhgfr, caught ianoss, 1
1617747422, mrgneiss, caught geniusviking, 1
1617747748, cetkaman, caught giloushaker, 1
1617748402, guardian_wizard, caught dreiinfinity, 1
1617749780, yelnax, caught siiseli_, 1
1617753417, styx722, caught cetkaman, 381
1617753487, projectjan, snapped, 0
1617753795, mahdy_salad, caught dukeit0ut, 1
1617754101, yelnax, caught dududaye, 1
1617754450, projectjan, caught zhongguosia, 1
1617754792, styx722, caught sargeras333, 1
1617755052, yelnax, snapped, 0
1617755383, projectjan, caught jigaar, 1
1617755658, mahdy_salad, snapped, 0
1617755875, sscuzzy, snapped, 0
1617756183, styx722, caught artisticpython, 1
1617756516, mahdy_salad, caught xined_, 2
1617756838, styx722, caught yelnax, 4
1617757175, projectjan, caught alsuf, 1
1617757483, styx722, caught havethis2, 1
1617757786, projectjan, caught justness_a, 1
1617758104, styx722, caught zairoh, 1
1617758432, mahdy_salad, caught suriranyar, 1
1617758745, projectjan, caught goodboy_000, 1
1617759135, mistermonsieur, caught hongyi90, 1
1617759560, projectjan, caught yelnax, 1
1617759905, mistermonsieur, caught jochenrindt, 1
1617759938, melpomenecarthasis, snapped, 0
1617760252, projectjan, caught bingcortana, 1
1617760529, mistermonsieur, snapped, 0
1617760659, jokertard, snapped, 0
1617760968, styx722, caught jokertard, 1
1617761339, projectjan, caught joeyjo901, 1
1617761652, styx722, caught ouglaaa, 1
1617761958, mistermonsieur, caught ovli_mikhail, 1
1617762406, projectjan, caught mathgeek201, 1
1617762761, mistermonsieur, caught artisticpython, 1
1617763064, projectjan, caught suiche10, 1
1617763230, mahdy_salad, snapped, 0
1617763580, styx722, caught joolem, 1
1617763899, projectjan, caught torleif42, 1
1617764245, mistermonsieur, caught sargeras333, 1
1617764563, styx722, caught siiseli_, 1
1617764913, projectjan, caught bigmelf, 1
1617765177, styx722, snapped, 0
1617765364, mistermonsieur, snapped, 0
1617765662, sonytoo, snapped, 0
1617765927, melpomenecarthasis, snapped, 0
1617766212, mistermonsieur, snapped, 0
1617766532, mistermonsieur, caught jochenrindt, 1
1617766840, styx722, caught captainpantsalot, 1
1617766989, zyzstem, snapped, 0
1617767320, projectjan, caught hyarion, 1
1617767558, zyzstem, snapped, 0
1617767860, sscuzzy, caught twitchprimereminder, 1
1617768166, projectjan, caught warvisionary, 1
1617768456, mistermonsieur, snapped, 0
1617768734, mistermonsieur, snapped, 0
1617768768, melpomenecarthasis, snapped, 0
1617768867, melpomenecarthasis, snapped, 0
1617769099, mistermonsieur, snapped, 0
1617769387, mahdy_salad, snapped, 0
1617769716, mistermonsieur, caught iamthg, 1
1617770019, mahdy_salad, caught jijiyo, 1
1617770055, styx722, snapped, 0
1617770366, styx722, caught dreiinfinity, 1
1617770707, mistermonsieur, caught cardiowaves, 1
1617771013, styx722, caught hallucinate___, 1
1617771491, mistermonsieur, caught chinasoupnumbawan, 24
1617771574, hatduck_, snapped, 0
1617771869, projectjan, snapped, 0
1617772186, projectjan, caught mrgneiss, 30
1617772472, skyyse_, snapped, 0
1617772801, styx722, caught mr_meidi, 1
1617773261, kuroneko__27, caught tho0mgarlic, 1
1617773576, styx722, caught mahdy_salad, 7
1617773900, projectjan, caught mr__shiro, 1
1617774295, styx722, caught bkdemon13, 1
1617774632, skyyse_, caught orange_bean, 1
1617774930, projectjan, snapped, 0
1617775128, kuroneko__27, snapped, 0
1617775452, projectjan, caught justness_a, 1
1617775764, skyyse_, caught ovli_mikhail, 1
1617775896, chinasoupnumbawan, snapped, 0
